idx, R, G, B, type, Y, x, y, L, M, S, Y1, x1, y1
150, 0.356204, 0.356204, 0.356204, ramp_w, 0.233, 0.28, 0.3006, NaN, NaN, NaN, NaN, NaN, NaN
151, 0.359253, 0.359253, 0.359253, ramp_w, 0.24, 0.2805, 0.2993, NaN, NaN, NaN, NaN, NaN, NaN
152, 0.362329, 0.362329, 0.362329, ramp_w, 0.24, 0.2813, 0.3, NaN, NaN, NaN, NaN, NaN, NaN
153, 0.365432, 0.365432, 0.365432, ramp_w, 0.241, 0.2809, 0.3009, NaN, NaN, NaN, NaN, NaN, NaN
154, 0.368561, 0.368561, 0.368561, ramp_w, 0.246, 0.2812, 0.3007, NaN, NaN, NaN, NaN, NaN, NaN
155, 0.371716, 0.371716, 0.371716, ramp_w, 0.248, 0.2803, 0.301, NaN, NaN, NaN, NaN, NaN, NaN
156, 0.374899, 0.374899, 0.374899, ramp_w, 0.245, 0.28, 0.2995, NaN, NaN, NaN, NaN, NaN, NaN
157, 0.378109, 0.378109, 0.378109, ramp_w, 0.245, 0.2808, 0.2991, NaN, NaN, NaN, NaN, NaN, NaN
158, 0.381346, 0.381346, 0.381346, ramp_w, 0.247, 0.2803, 0.2998, NaN, NaN, NaN, NaN, NaN, NaN
159, 0.384612, 0.384612, 0.384612, ramp_w, 0.26, 0.2796, 0.2992, NaN, NaN, NaN, NaN, NaN, NaN
160, 0.387905, 0.387905, 0.387905, ramp_w, 0.259, 0.2805, 0.2977, NaN, NaN, NaN, NaN, NaN, NaN
161, 0.391226, 0.391226, 0.391226, ramp_w, 0.26, 0.2796, 0.2992, NaN, NaN, NaN, NaN, NaN, NaN
162, 0.394576, 0.394576, 0.394576, ramp_w, 0.265, 0.2799, 0.2991, NaN, NaN, NaN, NaN, NaN, NaN
163, 0.397954, 0.397954, 0.397954, ramp_w, 0.263, 0.2788, 0.2968, NaN, NaN, NaN, NaN, NaN, NaN
164, 0.401361, 0.401361, 0.401361, ramp_w, 0.262, 0.2789, 0.2971, NaN, NaN, NaN, NaN, NaN, NaN
165, 0.404798, 0.404798, 0.404798, ramp_w, 0.27, 0.2783, 0.297, NaN, NaN, NaN, NaN, NaN, NaN
166, 0.408264, 0.408264, 0.408264, ramp_w, 0.268, 0.2743, 0.2965, NaN, NaN, NaN, NaN, NaN, NaN
167, 0.41176, 0.41176, 0.41176, ramp_w, 0.266, 0.2751, 0.2939, NaN, NaN, NaN, NaN, NaN, NaN
168, 0.415285, 0.415285, 0.415285, ramp_w, 0.272, 0.2743, 0.2937, NaN, NaN, NaN, NaN, NaN, NaN
169, 0.418841, 0.418841, 0.418841, ramp_w, 0.27, 0.2745, 0.2941, NaN, NaN, NaN, NaN, NaN, NaN
170, 0.422427, 0.422427, 0.422427, ramp_w, 0.271, 0.2739, 0.2946, NaN, NaN, NaN, NaN, NaN, NaN
171, 0.426044, 0.426044, 0.426044, ramp_w, 0.278, 0.2788, 0.297, NaN, NaN, NaN, NaN, NaN, NaN
172, 0.429692, 0.429692, 0.429692, ramp_w, 0.277, 0.2784, 0.2966, NaN, NaN, NaN, NaN, NaN, NaN
173, 0.433371, 0.433371, 0.433371, ramp_w, 0.275, 0.2785, 0.2957, NaN, NaN, NaN, NaN, NaN, NaN
174, 0.437081, 0.437081, 0.437081, ramp_w, 0.279, 0.2793, 0.2974, NaN, NaN, NaN, NaN, NaN, NaN
175, 0.440824, 0.440824, 0.440824, ramp_w, 0.28, 0.2803, 0.2972, NaN, NaN, NaN, NaN, NaN, NaN
176, 0.444598, 0.444598, 0.444598, ramp_w, 0.279, 0.2801, 0.2971, NaN, NaN, NaN, NaN, NaN, NaN
177, 0.448405, 0.448405, 0.448405, ramp_w, 0.28, 0.2803, 0.2972, NaN, NaN, NaN, NaN, NaN, NaN
178, 0.452244, 0.452244, 0.452244, ramp_w, 0.282, 0.2812, 0.2981, NaN, NaN, NaN, NaN, NaN, NaN
179, 0.456116, 0.456116, 0.456116, ramp_w, 0.282, 0.2819, 0.2978, NaN, NaN, NaN, NaN, NaN, NaN
180, 0.460022, 0.460022, 0.460022, ramp_w, 0.283, 0.2825, 0.2995, NaN, NaN, NaN, NaN, NaN, NaN
181, 0.463961, 0.463961, 0.463961, ramp_w, 0.28, 0.2801, 0.296, NaN, NaN, NaN, NaN, NaN, NaN
182, 0.467933, 0.467933, 0.467933, ramp_w, 0.282, 0.283, 0.2978, NaN, NaN, NaN, NaN, NaN, NaN
183, 0.47194, 0.47194, 0.47194, ramp_w, 0.284, 0.2813, 0.2993, NaN, NaN, NaN, NaN, NaN, NaN
184, 0.47598, 0.47598, 0.47598, ramp_w, 0.282, 0.2808, 0.2965, NaN, NaN, NaN, NaN, NaN, NaN
185, 0.480056, 0.480056, 0.480056, ramp_w, 0.288, 0.2811, 0.2988, NaN, NaN, NaN, NaN, NaN, NaN
186, 0.484166, 0.484166, 0.484166, ramp_w, 0.287, 0.2811, 0.2977, NaN, NaN, NaN, NaN, NaN, NaN
187, 0.488312, 0.488312, 0.488312, ramp_w, 0.299, 0.2813, 0.2993, NaN, NaN, NaN, NaN, NaN, NaN
188, 0.492493, 0.492493, 0.492493, ramp_w, 0.302, 0.2815, 0.2993, NaN, NaN, NaN, NaN, NaN, NaN
189, 0.496709, 0.496709, 0.496709, ramp_w, 0.3, 0.2802, 0.2991, NaN, NaN, NaN, NaN, NaN, NaN
190, 0.500962, 0.500962, 0.500962, ramp_w, 0.308, 0.2816, 0.299, NaN, NaN, NaN, NaN, NaN, NaN
191, 0.505252, 0.505252, 0.505252, ramp_w, 0.308, 0.2814, 0.2999, NaN, NaN, NaN, NaN, NaN, NaN
192, 0.509578, 0.509578, 0.509578, ramp_w, 0.31, 0.28, 0.3004, NaN, NaN, NaN, NaN, NaN, NaN
193, 0.513941, 0.513941, 0.513941, ramp_w, 0.322, 0.2803, 0.296, NaN, NaN, NaN, NaN, NaN, NaN
194, 0.518341, 0.518341, 0.518341, ramp_w, 0.32, 0.2799, 0.2966, NaN, NaN, NaN, NaN, NaN, NaN
195, 0.522779, 0.522779, 0.522779, ramp_w, 0.32, 0.2799, 0.2947, NaN, NaN, NaN, NaN, NaN, NaN
196, 0.527256, 0.527256, 0.527256, ramp_w, 0.321, 0.2798, 0.2964, NaN, NaN, NaN, NaN, NaN, NaN
197, 0.53177, 0.53177, 0.53177, ramp_w, 0.321, 0.28, 0.2967, NaN, NaN, NaN, NaN, NaN, NaN
198, 0.536323, 0.536323, 0.536323, ramp_w, 0.338, 0.2796, 0.2944, NaN, NaN, NaN, NaN, NaN, NaN
199, 0.540915, 0.540915, 0.540915, ramp_w, 0.338, 0.2787, 0.2944, NaN, NaN, NaN, NaN, NaN, NaN
200, 0.545547, 0.545547, 0.545547, ramp_w, 0.349, 0.2812, 0.2983, NaN, NaN, NaN, NaN, NaN, NaN
201, 0.550218, 0.550218, 0.550218, ramp_w, 0.348, 0.2797, 0.2977, NaN, NaN, NaN, NaN, NaN, NaN
202, 0.554929, 0.554929, 0.554929, ramp_w, 0.348, 0.2801, 0.2972, NaN, NaN, NaN, NaN, NaN, NaN
203, 0.55968, 0.55968, 0.55968, ramp_w, 0.352, 0.2815, 0.2975, NaN, NaN, NaN, NaN, NaN, NaN
204, 0.564472, 0.564472, 0.564472, ramp_w, 0.353, 0.2808, 0.2976, NaN, NaN, NaN, NaN, NaN, NaN
205, 0.569305, 0.569305, 0.569305, ramp_w, 0.354, 0.2806, 0.2992, NaN, NaN, NaN, NaN, NaN, NaN
206, 0.57418, 0.57418, 0.57418, ramp_w, 0.365, 0.2813, 0.2984, NaN, NaN, NaN, NaN, NaN, NaN
